 Counter value is: 28 	Fri Dec 10 12:19:51 2021
 Counter value is: 27 	Fri Dec 10 12:19:52 2021
 Counter value is: 26 	Fri Dec 10 12:19:53 2021
 Counter value is: 25 	Fri Dec 10 12:19:54 2021
 Counter value is: 24 	Fri Dec 10 12:19:55 2021
 Counter value is: 23 	Fri Dec 10 12:19:56 2021
 Counter value is: 22 	Fri Dec 10 12:19:57 2021
 Counter value is: 21 	Fri Dec 10 12:19:58 2021
 Counter value is: 20 	Fri Dec 10 12:19:59 2021
 Counter value is: 19 	Fri Dec 10 12:20:00 2021
 Counter value is: 18 	Fri Dec 10 12:20:01 2021
 Counter value is: 17 	Fri Dec 10 12:20:02 2021
 Counter value is: 16 	Fri Dec 10 12:20:03 2021
 Counter value is: 15 	Fri Dec 10 12:20:04 2021
 Counter value is: 14 	Fri Dec 10 12:20:05 2021
 Counter value is: 13 	Fri Dec 10 12:20:06 2021
 Counter value is: 12 	Fri Dec 10 12:20:07 2021
 Counter value is: 11 	Fri Dec 10 12:20:08 2021
 Counter value is: 10 	Fri Dec 10 12:20:09 2021
 Counter value is: 9 	Fri Dec 10 12:20:10 2021
 Counter value is: 8 	Fri Dec 10 12:20:11 2021
 Counter value is: 7 	Fri Dec 10 12:20:12 2021
 Counter value is: 6 	Fri Dec 10 12:20:13 2021
 Counter value is: 5 	Fri Dec 10 12:20:14 2021
 Counter value is: 4 	Fri Dec 10 12:20:15 2021
 Counter value is: 3 	Fri Dec 10 12:20:16 2021
 Counter value is: 2 	Fri Dec 10 12:20:17 2021
 Counter value is: 1 	Fri Dec 10 12:20:18 2021
 Counter value is: 60 	Fri Dec 10 12:20:19 2021
 Counter value is: 59 	Fri Dec 10 12:20:20 2021
 Counter value is: 58 	Fri Dec 10 12:20:21 2021
 Counter value is: 57 	Fri Dec 10 12:20:22 2021
 Counter value is: 56 	Fri Dec 10 12:20:23 2021
 Counter value is: 55 	Fri Dec 10 12:20:24 2021
 Counter value is: 54 	Fri Dec 10 12:20:25 2021
 Counter value is: 53 	Fri Dec 10 12:20:26 2021
 Counter value is: 52 	Fri Dec 10 12:20:27 2021
 Counter value is: 51 	Fri Dec 10 12:20:28 2021
 Counter value is: 50 	Fri Dec 10 12:20:29 2021
 Counter value is: 49 	Fri Dec 10 12:20:30 2021
 Counter value is: 48 	Fri Dec 10 12:20:31 2021
 Counter value is: 47 	Fri Dec 10 12:20:32 2021
 Counter value is: 46 	Fri Dec 10 12:20:33 2021
 Counter value is: 45 	Fri Dec 10 12:20:34 2021
 Counter value is: 44 	Fri Dec 10 12:20:35 2021
 Counter value is: 43 	Fri Dec 10 12:20:36 2021
 Counter value is: 42 	Fri Dec 10 12:20:37 2021
 Counter value is: 41 	Fri Dec 10 12:20:38 2021
 Counter value is: 40 	Fri Dec 10 12:20:39 2021
 Counter value is: 39 	Fri Dec 10 12:20:40 2021
 Counter value is: 38 	Fri Dec 10 12:20:41 2021
 Counter value is: 37 	Fri Dec 10 12:20:42 2021
 Counter value is: 36 	Fri Dec 10 12:20:43 2021
 Counter value is: 35 	Fri Dec 10 12:20:44 2021
 Counter value is: 34 	Fri Dec 10 12:20:45 2021
 Counter value is: 33 	Fri Dec 10 12:20:46 2021
 Counter value is: 32 	Fri Dec 10 12:20:47 2021
 Counter value is: 31 	Fri Dec 10 12:20:48 2021
 Counter value is: 30 	Fri Dec 10 12:20:49 2021
 Counter value is: 29 	Fri Dec 10 12:20:50 2021
 Counter value is: 28 	Fri Dec 10 12:20:51 2021
 Counter value is: 27 	Fri Dec 10 12:20:52 2021
 Counter value is: 26 	Fri Dec 10 12:20:53 2021
 Counter value is: 25 	Fri Dec 10 12:20:54 2021
 Counter value is: 24 	Fri Dec 10 12:20:55 2021
 Counter value is: 23 	Fri Dec 10 12:20:56 2021
 Counter value is: 22 	Fri Dec 10 12:20:57 2021
 Counter value is: 21 	Fri Dec 10 12:20:58 2021
 Counter value is: 20 	Fri Dec 10 12:20:59 2021
 Counter value is: 19 	Fri Dec 10 12:21:00 2021
 Counter value is: 18 	Fri Dec 10 12:21:01 2021
 Counter value is: 17 	Fri Dec 10 12:21:02 2021
 Counter value is: 16 	Fri Dec 10 12:21:03 2021
 Counter value is: 15 	Fri Dec 10 12:21:04 2021
 Counter value is: 14 	Fri Dec 10 12:21:05 2021
 Counter value is: 13 	Fri Dec 10 12:21:06 2021
 Counter value is: 12 	Fri Dec 10 12:21:07 2021
 Counter value is: 11 	Fri Dec 10 12:21:08 2021
 Counter value is: 10 	Fri Dec 10 12:21:09 2021
 Counter value is: 9 	Fri Dec 10 12:21:10 2021
 Counter value is: 8 	Fri Dec 10 12:21:11 2021
 Counter value is: 7 	Fri Dec 10 12:21:12 2021
 Counter value is: 6 	Fri Dec 10 12:21:13 2021
 Counter value is: 5 	Fri Dec 10 12:21:14 2021
 Counter value is: 4 	Fri Dec 10 12:21:15 2021
 Counter value is: 3 	Fri Dec 10 12:21:16 2021
 Counter value is: 2 	Fri Dec 10 12:21:17 2021
 Counter value is: 1 	Fri Dec 10 12:21:18 2021
 Counter value is: 60 	Fri Dec 10 12:21:19 2021
